"id","word","cefr","parts_of_speech","current_arabic_meaning","manual_review_reason"
"5","about","A1","preposition + adverb","حول؛ عن؛ تقريبًا","Multi-sense or multi-POS separation requires human dictionary review."
"6","above","A1","preposition + adverb","لأعلى؛ أعلاه؛ فوق","Multi-sense or multi-POS separation requires human dictionary review."
"27","across","A1","preposition + adverb","عبر؛ من جهة إلى أخرى","Multi-sense or multi-POS separation requires human dictionary review."
"50","advance","B2","noun + verb + adjective","تقدّم؛ يتقدّم؛ مُسبق","Multi-sense or multi-POS separation requires human dictionary review."
"64","after","A2","conjunction + adverb","بعد ذلك / فيما بعد","Multi-sense or multi-POS separation requires human dictionary review."
"81","aid","B2","noun + verb","مساعدة؛ يساعد","Multi-sense or multi-POS separation requires human dictionary review."
"82","aim","B1","verb + noun","هدف؛ يهدف","Multi-sense or multi-POS separation requires human dictionary review."
"93","all","A1","determiner + pronoun","الكلّ","Multi-sense or multi-POS separation requires human dictionary review."
"98","alone","A2","adjective + adverb","وحيد؛ بمفرده","Multi-sense or multi-POS separation requires human dictionary review."
"99","along","A2","preposition + adverb","على طول","Multi-sense or multi-POS separation requires human dictionary review."
"130","another","A1","determiner + pronoun","آخر","Multi-sense or multi-POS separation requires human dictionary review."
"131","answer","A1","noun + verb","إجابة؛ يجيب","Multi-sense or multi-POS separation requires human dictionary review."
"133","any","A1","determiner + pronoun","أيّ","Multi-sense or multi-POS separation requires human dictionary review."
"140","anywhere","A2","adverb + pronoun","في أيّ مكان","Multi-sense or multi-POS separation requires human dictionary review."
"147","appeal","B2","noun + verb","استئناف؛ نداء؛ يستأنف","Multi-sense or multi-POS separation requires human dictionary review."
"155","approach","B2","noun + verb","نهج؛ يقترب","Multi-sense or multi-POS separation requires human dictionary review."
"171","around","A1","preposition + adverb","حول؛ في الجوار؛ تقريبًا","Multi-sense or multi-POS separation requires human dictionary review."
"174","arrest","B1","verb + noun","يعتقل؛ اعتقال","Multi-sense or multi-POS separation requires human dictionary review."
"183","as","A2","adverb + conjunction","كما / بينما / لأن","Multi-sense or multi-POS separation requires human dictionary review."
"192","assistant","A2","noun + adjective","المساعد","Multi-sense or multi-POS separation requires human dictionary review."
"201","attack","A2","noun + verb","هجوم؛ يهاجم","Multi-sense or multi-POS separation requires human dictionary review."
"202","attempt","B2","noun + verb","محاولة؛ يحاول","Multi-sense or multi-POS separation requires human dictionary review."
"204","attention","A2","noun + exclamation","الانتباه","Multi-sense or multi-POS separation requires human dictionary review."
"216","average","A2","adjective + noun","متوسط","Multi-sense or multi-POS separation requires human dictionary review."
"225","back","A1","noun + adverb","ظهر؛ خلف","Multi-sense or multi-POS separation requires human dictionary review."
"234","balance","B1","noun + verb","توازن؛ رصيد؛ يوازن","Multi-sense or multi-POS separation requires human dictionary review."
"236","ban","B1","verb + noun","يحظر؛ حظر","Multi-sense or multi-POS separation requires human dictionary review."
"244","base","B1","noun + verb","قاعدة؛ يؤسّس","Multi-sense or multi-POS separation requires human dictionary review."
"256","be","A1","verb + auxiliary","يكون","Multi-sense or multi-POS separation requires human dictionary review."
"272","behind","A1","preposition + adverb","خلف؛ وراء","Multi-sense or multi-POS separation requires human dictionary review."
"278","below","A1","adverb + preposition","أدناه؛ في الأسفل","Multi-sense or multi-POS separation requires human dictionary review."
"280","bend","B1","verb + noun","ينحني؛ انحناء","Multi-sense or multi-POS separation requires human dictionary review."
"285","best","A2","adverb + noun","الأفضل","Multi-sense or multi-POS separation requires human dictionary review."
"286","bet","B2","verb + noun","يراهن؛ رهان","Multi-sense or multi-POS separation requires human dictionary review."
"291","beyond","B2","preposition + adverb","وراء؛ أبعد من","Multi-sense or multi-POS separation requires human dictionary review."
"305","bite","B1","verb + noun","يعضّ؛ عضة","Multi-sense or multi-POS separation requires human dictionary review."
"307","black","A1","adjective + noun","أسود","Multi-sense or multi-POS separation requires human dictionary review."
"308","blame","B2","verb + noun","يلوم؛ لوم","Multi-sense or multi-POS separation requires human dictionary review."
"309","blank","A2","adjective + noun","فارغ","Multi-sense or multi-POS separation requires human dictionary review."
"311","block","B1","noun + verb","كتلة؛ مبنى؛ يمنع","Multi-sense or multi-POS separation requires human dictionary review."
"316","blue","A1","adjective + noun","أزرق","Multi-sense or multi-POS separation requires human dictionary review."
"322","bomb","B1","noun + verb","قنبلة؛ يقصف","Multi-sense or multi-POS separation requires human dictionary review."
"335","both","A1","determiner + pronoun","كلاهما","Multi-sense or multi-POS separation requires human dictionary review."
"338","bottom","A2","noun + adjective","أسفل؛ قاع","Multi-sense or multi-POS separation requires human dictionary review."
"355","broadcast","B2","verb + noun","يبث؛ بث","Multi-sense or multi-POS separation requires human dictionary review."
"358","brown","A1","adjective + noun","بني","Multi-sense or multi-POS separation requires human dictionary review."
"359","brush","A2","verb + noun","فرشاة؛ ينظّف بالفرشاة","Multi-sense or multi-POS separation requires human dictionary review."
"386","call","A1","verb + noun","يتصل؛ ينادي؛ مكالمة","Multi-sense or multi-POS separation requires human dictionary review."
"387","calm","B1","adjective + verb + noun","هادئ؛ يهدّئ؛ هدوء","Multi-sense or multi-POS separation requires human dictionary review."
"389","camp","A2","noun + verb","مخيّم؛ يخيّم","Multi-sense or multi-POS separation requires human dictionary review."
"390","campaign","B1","noun + verb","حملة؛ ينظّم حملة","Multi-sense or multi-POS separation requires human dictionary review."
"402","capital","A1","noun + adjective","عاصمة؛ رأس مال؛ رئيسي","Multi-sense or multi-POS separation requires human dictionary review."
"404","capture","B2","verb + noun","يأسر؛ يلتقط؛ أسر","Multi-sense or multi-POS separation requires human dictionary review."
"407","care","A2","noun + verb","عناية؛ يهتم","Multi-sense or multi-POS separation requires human dictionary review."
"412","cast","B2","noun + verb","طاقم تمثيل؛ يرمي؛ يختار للمشاركة","Multi-sense or multi-POS separation requires human dictionary review."
"418","cause","A2","noun + verb","سبب؛ يسبّب","Multi-sense or multi-POS separation requires human dictionary review."
"442","change","A1","verb + noun","يغيّر؛ تغيير","Multi-sense or multi-POS separation requires human dictionary review."
"446","characteristic","B2","noun + adjective","سمة؛ مميّز","Multi-sense or multi-POS separation requires human dictionary review."
"447","charge","B1","noun + verb","رسم؛ تكلفة؛ تهمة؛ يتقاضى؛ يشحن","Multi-sense or multi-POS separation requires human dictionary review."
"451","chat","A2","verb + noun","يدردش؛ دردشة","Multi-sense or multi-POS separation requires human dictionary review."
"454","cheat","B1","verb + noun","يغش؛ غش","Multi-sense or multi-POS separation requires human dictionary review."
"460","chemical","B1","adjective + noun","كيميائي؛ مادة كيميائية","Multi-sense or multi-POS separation requires human dictionary review."
"464","chief","B2","adjective + noun","رئيسي؛ رئيس","Multi-sense or multi-POS separation requires human dictionary review."
"474","circle","A2","noun + verb","دائرة؛ يحيط","Multi-sense or multi-POS separation requires human dictionary review."
"480","claim","B1","verb + noun","يدّعي؛ مطالبة؛ ادعاء","Multi-sense or multi-POS separation requires human dictionary review."
"482","classic","B2","adjective + noun","كلاسيكي؛ عمل كلاسيكي","Multi-sense or multi-POS separation requires human dictionary review."
"484","click","B1","verb + noun","ينقر؛ نقرة","Multi-sense or multi-POS separation requires human dictionary review."
"510","cold","A1","adjective + noun","بارد؛ زكام","Multi-sense or multi-POS separation requires human dictionary review."
"511","collapse","B2","verb + noun","ينهار؛ انهيار","Multi-sense or multi-POS separation requires human dictionary review."
"523","comfort","B2","noun + verb","راحة؛ يواسي","Multi-sense or multi-POS separation requires human dictionary review."
"525","command","B2","noun + verb","أمر؛ قيادة؛ يأمر","Multi-sense or multi-POS separation requires human dictionary review."
"528","commercial","B1","adjective + noun","تجاري؛ إعلان تجاري","Multi-sense or multi-POS separation requires human dictionary review."
"529","commission","B2","noun + verb","عمولة؛ لجنة؛ يكلّف","Multi-sense or multi-POS separation requires human dictionary review."
"533","common","A1","adjective + noun","شائع / مشترك","Multi-sense or multi-POS separation requires human dictionary review."
"547","complete","A1","adjective + verb","كامل؛ يكمل","Multi-sense or multi-POS separation requires human dictionary review."
"557","conduct","B2","verb + noun","يجري؛ يدير؛ سلوك","Multi-sense or multi-POS separation requires human dictionary review."
"562","conflict","B2","noun + verb","نزاع؛ يتعارض","Multi-sense or multi-POS separation requires human dictionary review."
"571","conservative","B2","adjective + noun","محافظ؛ شخص محافظ","Multi-sense or multi-POS separation requires human dictionary review."
"582","contact","B1","noun + verb","اتصال؛ يتصل","Multi-sense or multi-POS separation requires human dictionary review."
"587","contest","B2","noun + verb","مسابقة؛ ينازع","Multi-sense or multi-POS separation requires human dictionary review."
"592","contract","B2","noun + verb","عقد؛ يتقلّص","Multi-sense or multi-POS separation requires human dictionary review."
"593","contrast","B1","noun + verb","تباين؛ يقارن","Multi-sense or multi-POS separation requires human dictionary review."
"596","control","A2","noun + verb","تحكم؛ يسيطر","Multi-sense or multi-POS separation requires human dictionary review."
"608","copy","A2","noun + verb","نسخة؛ ينسخ","Multi-sense or multi-POS separation requires human dictionary review."
"609","core","B2","noun + adjective","جوهر؛ أساسي","Multi-sense or multi-POS separation requires human dictionary review."
"612","correct","A1","adjective + verb","صحيح؛ يصحّح","Multi-sense or multi-POS separation requires human dictionary review."
"614","cost","A1","noun + verb","تكلفة؛ يكلّف","Multi-sense or multi-POS separation requires human dictionary review."
"627","crash","B2","noun + verb","تحطّم؛ يصطدم","Multi-sense or multi-POS separation requires human dictionary review."
"648","cross","A2","verb + noun","يعبر؛ صليب؛ متقاطع","Multi-sense or multi-POS separation requires human dictionary review."
"659","cure","B2","verb + noun","يعالج؛ علاج","Multi-sense or multi-POS separation requires human dictionary review."
"666","curve","B2","noun + verb","منحنى؛ ينحني","Multi-sense or multi-POS separation requires human dictionary review."
"672","cycle","A2","noun + verb","دورة؛ يركب دراجة","Multi-sense or multi-POS separation requires human dictionary review."
"676","damage","B1","noun + verb","ضرر؛ يضرّ","Multi-sense or multi-POS separation requires human dictionary review."
"677","dance","A1","noun + verb","رقص؛ يرقص","Multi-sense or multi-POS separation requires human dictionary review."
"697","decline","B2","verb + noun","ينخفض؛ يرفض؛ انخفاض","Multi-sense or multi-POS separation requires human dictionary review."
"700","decrease","B2","verb + noun","ينخفض؛ يقلّل؛ انخفاض","Multi-sense or multi-POS separation requires human dictionary review."
"704","defeat","B2","verb + noun","يهزم؛ هزيمة","Multi-sense or multi-POS separation requires human dictionary review."
"712","delay","B2","verb + noun","يؤخّر؛ تأخير","Multi-sense or multi-POS separation requires human dictionary review."
"716","delight","B2","verb + noun","يسعد؛ بهجة","Multi-sense or multi-POS separation requires human dictionary review."
"720","demand","B2","noun + verb","طلب؛ يطالب","Multi-sense or multi-POS separation requires human dictionary review."
"735","design","A1","noun + verb","تصميم؛ يصمّم","Multi-sense or multi-POS separation requires human dictionary review."
"737","desire","B2","noun + verb","رغبة؛ يرغب","Multi-sense or multi-POS separation requires human dictionary review."
"763","direct","B1","verb + adverb","يوجّه؛ مباشرة","Multi-sense or multi-POS separation requires human dictionary review."
"786","dislike","B1","verb + noun","لا يحب؛ كراهية","Multi-sense or multi-POS separation requires human dictionary review."
"788","display","B2","verb + noun","يعرض؛ عرض","Multi-sense or multi-POS separation requires human dictionary review."
"797","do","A1","verb + auxiliary","يفعل","Multi-sense or multi-POS separation requires human dictionary review."
"808","double","A2","adjective + determiner + pronoun + verb","مزدوج؛ ضعف","Multi-sense or multi-POS separation requires human dictionary review."
"810","doubt","B1","noun + verb","شكّ؛ يشكّ","Multi-sense or multi-POS separation requires human dictionary review."
"811","down","A1","adverb + preposition","أسفل","Multi-sense or multi-POS separation requires human dictionary review."
"812","download","A2","verb + noun","ينزّل؛ تنزيل","Multi-sense or multi-POS separation requires human dictionary review."
"816","dozen","B2","noun + determiner","دزينة","Multi-sense or multi-POS separation requires human dictionary review."
"817","draft","B2","noun + verb","مسوّدة؛ يصوغ","Multi-sense or multi-POS separation requires human dictionary review."
"823","dream","A2","noun + verb","حلم؛ يحلم","Multi-sense or multi-POS separation requires human dictionary review."
"824","dress","A1","noun + verb","فستان؛ يرتدي","Multi-sense or multi-POS separation requires human dictionary review."
"826","drink","A1","noun + verb","مشروب؛ يشرب","Multi-sense or multi-POS separation requires human dictionary review."
"836","each","A1","determiner + pronoun + adverb","كلّ","Multi-sense or multi-POS separation requires human dictionary review."
"838","early","A1","adjective + adverb","مبكر؛ مبكرًا","Multi-sense or multi-POS separation requires human dictionary review."
"843","east","A1","noun + adjective + adverb","الشرق؛ شرقيًا","Multi-sense or multi-POS separation requires human dictionary review."
"866","either","A2","determiner + pronoun + adverb","أيّ من الاثنين؛ أيضًا في النفي","Multi-sense or multi-POS separation requires human dictionary review."
"879","email","A1","noun + verb","بريد إلكتروني؛ يرسل بريدًا","Multi-sense or multi-POS separation requires human dictionary review."
"895","encounter","B2","verb + noun","يصادف؛ مواجهة","Multi-sense or multi-POS separation requires human dictionary review."
"897","end","A1","noun + verb","نهاية؛ ينتهي","Multi-sense or multi-POS separation requires human dictionary review."
"903","enough","A1","determiner + pronoun + adverb","كافٍ؛ بما يكفي","Multi-sense or multi-POS separation requires human dictionary review."
"918","equal","B1","adjective + verb","متساوٍ؛ يساوي","Multi-sense or multi-POS separation requires human dictionary review."
"923","escape","B1","verb + noun","يهرب؛ هروب","Multi-sense or multi-POS separation requires human dictionary review."
"929","estimate","B2","verb + noun","يقدّر؛ تقدير","Multi-sense or multi-POS separation requires human dictionary review."
"946","evil","B2","adjective + noun","شرير؛ شر","Multi-sense or multi-POS separation requires human dictionary review."
"956","exchange","B1","noun + verb","تبادل؛ يتبادل","Multi-sense or multi-POS separation requires human dictionary review."
"960","excuse","B2","noun + verb","عذر؛ يعذر","Multi-sense or multi-POS separation requires human dictionary review."
"961","executive","B2","noun + adjective","تنفيذي؛ مدير تنفيذي","Multi-sense or multi-POS separation requires human dictionary review."
"962","exercise","A1","noun + verb","تمرين؛ يتمرّن","Multi-sense or multi-POS separation requires human dictionary review."
"972","expert","A2","noun + adjective","خبير؛ متخصص","Multi-sense or multi-POS separation requires human dictionary review."
"979","export","B1","noun + verb","تصدير؛ يصدّر","Multi-sense or multi-POS separation requires human dictionary review."
"987","extra","B1","noun + adverb","إضافي؛ زيادة","Multi-sense or multi-POS separation requires human dictionary review."
"1008","family","A1","noun + adjective","عائلة؛ عائلي","Multi-sense or multi-POS separation requires human dictionary review."
"1011","fancy","B1","verb + adjective","يتخيّل؛ يرغب؛ فاخر","Multi-sense or multi-POS separation requires human dictionary review."
"1022","fast","A1","adjective + adverb","سريع؛ بسرعة","Multi-sense or multi-POS separation requires human dictionary review."
"1030","favourite","A1","adjective + noun","مفضّل؛ المفضّل","Multi-sense or multi-POS separation requires human dictionary review."
"1048","fight","A2","verb + noun","يقاتل؛ قتال","Multi-sense or multi-POS separation requires human dictionary review."
"1060","finance","B2","noun + verb","تمويل؛ يموّل","Multi-sense or multi-POS separation requires human dictionary review."
"1071","first","A1","determiner + number + adverb","الأول؛ أولًا","Multi-sense or multi-POS separation requires human dictionary review."
"1077","fit","A2","verb + adjective","يناسب؛ لائق","Multi-sense or multi-POS separation requires human dictionary review."
"1085","flash","B2","noun + verb","وميض؛ يومض","Multi-sense or multi-POS separation requires human dictionary review."
"1091","flood","B1","noun + verb","فيضان؛ يغمر","Multi-sense or multi-POS separation requires human dictionary review."
"1094","flow","B1","verb + noun","يتدفق؛ تدفّق","Multi-sense or multi-POS separation requires human dictionary review."
"1099","flying","A2","noun + adjective","طيران؛ طائر","Multi-sense or multi-POS separation requires human dictionary review."
"1100","focus","A2","verb + noun","يركّز؛ تركيز","Multi-sense or multi-POS separation requires human dictionary review."
"1104","folk","B1","noun + adjective","قوم؛ شعبي","Multi-sense or multi-POS separation requires human dictionary review."
"1112","force","B1","noun + verb","قوة؛ يجبر","Multi-sense or multi-POS separation requires human dictionary review."
"1119","form","A1","noun + verb","شكل؛ نموذج؛ يشكّل","Multi-sense or multi-POS separation requires human dictionary review."
"1124","frame","B1","noun + verb","إطار؛ يؤطّر","Multi-sense or multi-POS separation requires human dictionary review."
"1142","front","A1","noun + adjective","مقدّمة؛ أمامي","Multi-sense or multi-POS separation requires human dictionary review."
"1154","fund","B2","noun + verb","صندوق؛ يموّل","Multi-sense or multi-POS separation requires human dictionary review."
"1165","gain","B2","verb + noun","يكسب؛ مكسب","Multi-sense or multi-POS separation requires human dictionary review."
"1186","giant","B1","adjective + noun","عملاق؛ ضخم","Multi-sense or multi-POS separation requires human dictionary review."
"1192","gold","A2","noun + adjective","ذهب؛ ذهبي","Multi-sense or multi-POS separation requires human dictionary review."
"1196","goodbye","A1","exclamation + noun","وداعًا؛ مع السلامة","Multi-sense or multi-POS separation requires human dictionary review."
"1204","graduate","B1","noun + verb","خريج؛ يتخرّج","Multi-sense or multi-POS separation requires human dictionary review."
"1210","grant","B2","verb + noun","يمنح؛ منحة","Multi-sense or multi-POS separation requires human dictionary review."
"1214","green","A1","adjective + noun","أخضر؛ اللون الأخضر","Multi-sense or multi-POS separation requires human dictionary review."
"1216","grey","A1","adjective + noun","رمادي؛ اللون الرمادي","Multi-sense or multi-POS separation requires human dictionary review."
"1221","guarantee","B2","verb + noun","يضمن؛ ضمان","Multi-sense or multi-POS separation requires human dictionary review."
"1222","guard","B1","noun + verb","حارس؛ يحرس","Multi-sense or multi-POS separation requires human dictionary review."
"1223","guess","A1","verb + noun","يخمّن؛ تخمين","Multi-sense or multi-POS separation requires human dictionary review."
"1225","guide","A2","noun + verb","دليل؛ مرشد؛ يرشد","Multi-sense or multi-POS separation requires human dictionary review."
"1233","half","A1","noun + determiner + pronoun","نصف","Multi-sense or multi-POS separation requires human dictionary review."
"1238","handle","B2","verb + noun","يتعامل؛ مقبض","Multi-sense or multi-POS separation requires human dictionary review."
"1244","hard","A1","adjective + adverb","صعب؛ قاسٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1246","harm","B2","noun + verb","ضرر؛ يضرّ","Multi-sense or multi-POS separation requires human dictionary review."
"1267","hello","A1","exclamation + noun","مرحبًا","Multi-sense or multi-POS separation requires human dictionary review."
"1268","help","A1","verb + noun","يساعد؛ مساعدة","Multi-sense or multi-POS separation requires human dictionary review."
"1270","her","A1","pronoun + determiner","إياها؛ لها؛ خاصتها","Multi-sense or multi-POS separation requires human dictionary review."
"1281","highlight","B1","verb + noun","يبرز؛ نقطة بارزة","Multi-sense or multi-POS separation requires human dictionary review."
"1293","hit","A2","verb + noun","يضرب؛ ضربة","Multi-sense or multi-POS separation requires human dictionary review."
"1302","home","A1","noun + adverb","بيت / منزل","Multi-sense or multi-POS separation requires human dictionary review."
"1306","honour","B2","noun + verb","شرف؛ يكرّم","Multi-sense or multi-POS separation requires human dictionary review."
"1325","human","A2","adjective + noun","بشري؛ إنسان","Multi-sense or multi-POS separation requires human dictionary review."
"1353","impact","B1","noun + verb","أثر؛ يؤثر","Multi-sense or multi-POS separation requires human dictionary review."
"1356","import","B1","noun + verb","استيراد؛ يستورد","Multi-sense or multi-POS separation requires human dictionary review."
"1367","in","A1","preposition + adverb","في","Multi-sense or multi-POS separation requires human dictionary review."
"1374","increase","A2","verb + noun","يزيد؛ زيادة","Multi-sense or multi-POS separation requires human dictionary review."
"1382","individual","A2","noun + adjective","فرد؛ فردي","Multi-sense or multi-POS separation requires human dictionary review."
"1388","influence","B1","noun + verb","تأثير؛ يؤثر","Multi-sense or multi-POS separation requires human dictionary review."
"1415","interest","A1","noun + verb","اهتمام؛ فائدة؛ يهمّ","Multi-sense or multi-POS separation requires human dictionary review."
"1423","interview","A1","noun + verb","مقابلة؛ يجري مقابلة","Multi-sense or multi-POS separation requires human dictionary review."
"1437","iron","B1","noun + verb","حديد؛ مكواة؛ يكوي","Multi-sense or multi-POS separation requires human dictionary review."
"1454","joke","A2","noun + verb","نكتة؛ يمزح","Multi-sense or multi-POS separation requires human dictionary review."
"1459","judge","B1","noun + verb","قاضٍ؛ يحكم","Multi-sense or multi-POS separation requires human dictionary review."
"1463","jump","A2","verb + noun","يقفز؛ قفزة","Multi-sense or multi-POS separation requires human dictionary review."
"1465","key","A1","noun + adjective","مفتاح؛ رئيسي","Multi-sense or multi-POS separation requires human dictionary review."
"1468","kick","B1","verb + noun","يركل؛ ركلة","Multi-sense or multi-POS separation requires human dictionary review."
"1476","kiss","B1","verb + noun","يقبّل؛ قبلة","Multi-sense or multi-POS separation requires human dictionary review."
"1485","label","B1","noun + verb","ملصق؛ يصنّف","Multi-sense or multi-POS separation requires human dictionary review."
"1488","lack","B1","noun + verb","نقص؛ يفتقر","Multi-sense or multi-POS separation requires human dictionary review."
"1500","last","A2","adverb + noun","أخيرًا؛ الأخير","Multi-sense or multi-POS separation requires human dictionary review."
"1502","late","A1","adjective + adverb","متأخرًا","Multi-sense or multi-POS separation requires human dictionary review."
"1507","laugh","A1","verb + noun","يضحك؛ ضحك","Multi-sense or multi-POS separation requires human dictionary review."
"1509","launch","B2","verb + noun","يطلق؛ إطلاق","Multi-sense or multi-POS separation requires human dictionary review."
"1525","least","A2","determiner + pronoun + adverb","أقلّ","Multi-sense or multi-POS separation requires human dictionary review."
"1529","lecture","A2","noun + verb","محاضرة؛ يحاضر","Multi-sense or multi-POS separation requires human dictionary review."
"1530","left","A1","adjective + adverb + noun","أيسر؛ يساري؛ متبقٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1539","lie","B1","verb + noun","يكذب؛ كذبة","Multi-sense or multi-POS separation requires human dictionary review."
"1542","lift","A2","verb + noun","يرفع؛ مصعد","Multi-sense or multi-POS separation requires human dictionary review."
"1543","light","A1","noun + adjective","ضوء؛ مضيء","Multi-sense or multi-POS separation requires human dictionary review."
"1550","limit","B1","noun + verb","حدّ؛ يحدّ","Multi-sense or multi-POS separation requires human dictionary review."
"1554","link","A2","noun + verb","رابط؛ يربط","Multi-sense or multi-POS separation requires human dictionary review."
"1557","liquid","B1","noun + adjective","سائل؛ سائلٌ","Multi-sense or multi-POS separation requires human dictionary review."
"1558","list","A1","noun + verb","قائمة؛ يسرد","Multi-sense or multi-POS separation requires human dictionary review."
"1562","little","A1","adjective + determiner + pronoun","صغير؛ قليل","Multi-sense or multi-POS separation requires human dictionary review."
"1565","live","B1","adjective + adverb","حيّ؛ مباشر","Multi-sense or multi-POS separation requires human dictionary review."
"1567","living","B1","adjective + noun","حيّ؛ معيشة","Multi-sense or multi-POS separation requires human dictionary review."
"1568","load","B2","noun + verb","حمولة؛ يحمّل","Multi-sense or multi-POS separation requires human dictionary review."
"1575","lock","A2","verb + noun","يقفل؛ قفل","Multi-sense or multi-POS separation requires human dictionary review."
