"id","word","cefr","parts_of_speech","current_arabic_meaning","manual_review_reason"
"1578","long","A1","adjective + adverb","طويل","Multi-sense or multi-POS separation requires human dictionary review."
"1579","long-term","B2","adjective + adverb","طويل الأمد / على المدى الطويل","Multi-sense or multi-POS separation requires human dictionary review."
"1588","lot","A1","pronoun + determiner + adverb","الكثير","Multi-sense or multi-POS separation requires human dictionary review."
"1589","loud","A2","adjective + adverb","عالٍ؛ بصوت عالٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1591","love","A1","noun + verb","حب؛ يحب","Multi-sense or multi-POS separation requires human dictionary review."
"1593","low","A2","adjective + adverb","منخفض","Multi-sense or multi-POS separation requires human dictionary review."
"1604","magic","B1","noun + adjective","سحر؛ سحري","Multi-sense or multi-POS separation requires human dictionary review."
"1607","male","A2","adjective + noun","ذكَر؛ ذكوري","Multi-sense or multi-POS separation requires human dictionary review."
"1614","many","A1","determiner + pronoun","الكثير","Multi-sense or multi-POS separation requires human dictionary review."
"1618","mark","A2","verb + noun","علامة؛ يضع علامة؛ يصحّح","Multi-sense or multi-POS separation requires human dictionary review."
"1625","mass","B2","noun + adjective","كتلة؛ جماهيري","Multi-sense or multi-POS separation requires human dictionary review."
"1627","master","B2","noun + verb","سيّد؛ يتقن","Multi-sense or multi-POS separation requires human dictionary review."
"1628","match","A1","noun + verb","مباراة؛ يطابق","Multi-sense or multi-POS separation requires human dictionary review."
"1634","matter","A2","noun + verb","أمر؛ يهمّ","Multi-sense or multi-POS separation requires human dictionary review."
"1635","maximum","B2","adjective + noun","أقصى؛ الحد الأقصى","Multi-sense or multi-POS separation requires human dictionary review."
"1645","measure","B1","verb + noun","يقيس؛ مقياس","Multi-sense or multi-POS separation requires human dictionary review."
"1662","mess","B1","noun + verb","فوضى؛ يبعثر","Multi-sense or multi-POS separation requires human dictionary review."
"1667","middle","A2","noun + adjective","منتصف؛ أوسط","Multi-sense or multi-POS separation requires human dictionary review."
"1672","military","B2","adjective + noun","عسكري؛ الجيش","Multi-sense or multi-POS separation requires human dictionary review."
"1684","mix","B1","verb + noun","يخلط؛ مزيج","Multi-sense or multi-POS separation requires human dictionary review."
"1687","mobile","A2","adjective + noun","محمول؛ هاتف محمول","Multi-sense or multi-POS separation requires human dictionary review."
"1695","monitor","B2","noun + verb","شاشة؛ يراقب","Multi-sense or multi-POS separation requires human dictionary review."
"1700","moral","B2","adjective + noun","أخلاقي؛ عِبرة","Multi-sense or multi-POS separation requires human dictionary review."
"1701","more","A1","determiner + pronoun + adverb","أكثر","Multi-sense or multi-POS separation requires human dictionary review."
"1703","most","A1","determiner + pronoun + adverb","أكثر","Multi-sense or multi-POS separation requires human dictionary review."
"1706","motor","B2","noun + adjective","محرّك؛ آلي","Multi-sense or multi-POS separation requires human dictionary review."
"1716","much","A1","determiner + pronoun + adverb","كثير","Multi-sense or multi-POS separation requires human dictionary review."
"1721","murder","B1","noun + verb","قتل؛ يقتل","Multi-sense or multi-POS separation requires human dictionary review."
"1734","name","A1","noun + verb","اسم؛ يسمّي","Multi-sense or multi-POS separation requires human dictionary review."
"1735","narrative","B1","noun + adjective","سرد؛ سردي","Multi-sense or multi-POS separation requires human dictionary review."
"1741","native","B1","adjective + noun","أصلي؛ ابن البلد","Multi-sense or multi-POS separation requires human dictionary review."
"1752","neither","A2","determiner + pronoun","لا هذا ولا ذاك","Multi-sense or multi-POS separation requires human dictionary review."
"1763","next","A1","adjective + adverb","التالي؛ بعد ذلك","Multi-sense or multi-POS separation requires human dictionary review."
"1772","no","A1","exclamation + determiner","لا؛ لا يوجد","Multi-sense or multi-POS separation requires human dictionary review."
"1778","nor","B1","conjunction + adverb","ولا","Multi-sense or multi-POS separation requires human dictionary review."
"1782","north","A1","noun + adjective + adverb","الشمال؛ شمالي","Multi-sense or multi-POS separation requires human dictionary review."
"1789","notice","A2","verb + noun","يلاحظ؛ إشعار","Multi-sense or multi-POS separation requires human dictionary review."
"1805","objective","B2","noun + adjective","هدف؛ موضوعي","Multi-sense or multi-POS separation requires human dictionary review."
"1818","offer","A2","verb + noun","يعرض؛ عرض","Multi-sense or multi-POS separation requires human dictionary review."
"1826","OK","A1","exclamation + adjective + adverb","حسنًا؛ مقبول","Multi-sense or multi-POS separation requires human dictionary review."
"1829","on","A1","preposition + adverb","على","Multi-sense or multi-POS separation requires human dictionary review."
"1832","one","A1","number + determiner + pronoun","واحد؛ أحد","Multi-sense or multi-POS separation requires human dictionary review."
"1834","online","A1","adjective + adverb","عبر الإنترنت","Multi-sense or multi-POS separation requires human dictionary review."
"1835","only","A1","adjective + adverb","وحيد؛ فقط","Multi-sense or multi-POS separation requires human dictionary review."
"1837","open","A1","adjective + verb","مفتوح؛ يفتح","Multi-sense or multi-POS separation requires human dictionary review."
"1846","opposite","A1","adjective + adverb + preposition + noun","معاكس؛ المقابل","Multi-sense or multi-POS separation requires human dictionary review."
"1850","orange","A1","noun + adjective","برتقال؛ برتقالي","Multi-sense or multi-POS separation requires human dictionary review."
"1851","order","A1","noun + verb","طلب؛ أمر؛ ترتيب؛ يأمر","Multi-sense or multi-POS separation requires human dictionary review."
"1862","other","A1","adjective + pronoun","آخر؛ الآخر","Multi-sense or multi-POS separation requires human dictionary review."
"1868","out","A1","adverb + preposition","خارج؛ إلى الخارج","Multi-sense or multi-POS separation requires human dictionary review."
"1873","outline","B2","noun + verb","ملخص؛ يوجز","Multi-sense or multi-POS separation requires human dictionary review."
"1875","outside","A2","preposition + noun + adjective","خارج؛ خارجي","Multi-sense or multi-POS separation requires human dictionary review."
"1877","over","A1","preposition + adverb","فوق؛ أكثر من؛ انتهى","Multi-sense or multi-POS separation requires human dictionary review."
"1878","overall","B2","adjective + adverb","إجمالي؛ عمومًا","Multi-sense or multi-POS separation requires human dictionary review."
"1880","own","A1","adjective + pronoun","خاص؛ ملكه","Multi-sense or multi-POS separation requires human dictionary review."
"1883","pace","B2","noun + verb","سرعة؛ يسير بخطى","Multi-sense or multi-POS separation requires human dictionary review."
"1896","park","A1","noun + verb","متنزّه؛ يوقف","Multi-sense or multi-POS separation requires human dictionary review."
"1913","past","A1","adjective + noun + preposition","الماضي؛ بعد","Multi-sense or multi-POS separation requires human dictionary review."
"1931","per cent","A2","noun + adjective + adverb","في المئة؛ نسبي","Multi-sense or multi-POS separation requires human dictionary review."
"1941","permit","B2","verb + noun","يسمح؛ تصريح","Multi-sense or multi-POS separation requires human dictionary review."
"1953","phone","A1","noun + verb","هاتف؛ يتصل","Multi-sense or multi-POS separation requires human dictionary review."
"1962","pile","B2","noun + verb","كومة؛ يكدّس","Multi-sense or multi-POS separation requires human dictionary review."
"1964","pin","B1","noun + verb","دبوس؛ يثبّت","Multi-sense or multi-POS separation requires human dictionary review."
"1965","pink","A1","adjective + noun","وردي؛ اللون الوردي","Multi-sense or multi-POS separation requires human dictionary review."
"1971","plan","A1","noun + verb","خطّة؛ يخطّط","Multi-sense or multi-POS separation requires human dictionary review."
"1977","plastic","A2","noun + adjective","بلاستيك؛ بلاستيكي","Multi-sense or multi-POS separation requires human dictionary review."
"1980","play","A1","verb + noun","يلعب؛ يعزف؛ يمثّل","Multi-sense or multi-POS separation requires human dictionary review."
"1991","plus","B2","adjective + conjunction + noun","زائد؛ ميزة إضافية","Multi-sense or multi-POS separation requires human dictionary review."
"1999","poison","B1","noun + verb","سمّ؛ يسمّم","Multi-sense or multi-POS separation requires human dictionary review."
"2011","pop","A2","noun + adjective","موسيقى البوب؛ شعبي","Multi-sense or multi-POS separation requires human dictionary review."
"2027","post","A1","noun + verb","بريد؛ منشور؛ ينشر","Multi-sense or multi-POS separation requires human dictionary review."
"2036","praise","B2","noun + verb","مديح؛ يمدح","Multi-sense or multi-POS separation requires human dictionary review."
"2047","present","A1","adjective + noun","حاضر؛ هدية","Multi-sense or multi-POS separation requires human dictionary review."
"2052","press","B1","verb + noun","يضغط؛ صحافة","Multi-sense or multi-POS separation requires human dictionary review."
"2055","pretty","A1","adjective + adverb","جميل؛ إلى حدّ ما","Multi-sense or multi-POS separation requires human dictionary review."
"2100","promise","A2","verb + noun","يَعِد؛ وعد","Multi-sense or multi-POS separation requires human dictionary review."
"2106","protest","B1","noun + verb","احتجاج؛ يحتج","Multi-sense or multi-POS separation requires human dictionary review."
"2113","public","A2","adjective + noun","عام؛ الجمهور","Multi-sense or multi-POS separation requires human dictionary review."
"2121","purchase","B2","noun + verb","شراء؛ يشتري","Multi-sense or multi-POS separation requires human dictionary review."
"2123","purple","A1","adjective + noun","أرجواني؛ اللون الأرجواني","Multi-sense or multi-POS separation requires human dictionary review."
"2138","queue","B1","noun + verb","طابور؛ يصطف","Multi-sense or multi-POS separation requires human dictionary review."
"2146","quote","B1","verb + noun","يقتبس؛ اقتباس","Multi-sense or multi-POS separation requires human dictionary review."
"2147","race","A2","noun + verb","سباق؛ يتسابق","Multi-sense or multi-POS separation requires human dictionary review."
"2152","rain","A1","noun + verb","مطر؛ تمطر","Multi-sense or multi-POS separation requires human dictionary review."
"2156","rank","B2","noun + verb","رتبة؛ يصنّف","Multi-sense or multi-POS separation requires human dictionary review."
"2184","record","A2","noun + verb","سجل؛ يسجّل","Multi-sense or multi-POS separation requires human dictionary review."
"2188","red","A1","adjective + noun","أحمر؛ اللون الأحمر","Multi-sense or multi-POS separation requires human dictionary review."
"2195","regard","B2","verb + noun","يعتبر؛ اعتبار","Multi-sense or multi-POS separation requires human dictionary review."
"2198","register","B2","verb + noun","يسجّل؛ سجل","Multi-sense or multi-POS separation requires human dictionary review."
"2199","regret","B2","verb + noun","يندم؛ ندم","Multi-sense or multi-POS separation requires human dictionary review."
"2208","relative","B1","adjective + noun","نسبي؛ قريب","Multi-sense or multi-POS separation requires human dictionary review."
"2213","release","B1","verb + noun","يطلق؛ إصدار","Multi-sense or multi-POS separation requires human dictionary review."
"2221","remark","B2","noun + verb","ملاحظة؛ يعلّق","Multi-sense or multi-POS separation requires human dictionary review."
"2226","rent","B1","noun + verb","إيجار؛ يستأجر","Multi-sense or multi-POS separation requires human dictionary review."
"2233","reply","A2","verb + noun","يرد؛ رد","Multi-sense or multi-POS separation requires human dictionary review."
"2238","representative","B2","noun + adjective","ممثل؛ تمثيلي","Multi-sense or multi-POS separation requires human dictionary review."
"2241","reserve","B2","noun + verb","احتياطي؛ يحجز","Multi-sense or multi-POS separation requires human dictionary review."
"2242","resident","B2","noun + adjective","مقيم؛ سكني","Multi-sense or multi-POS separation requires human dictionary review."
"2247","respect","B1","noun + verb","احترام؛ يحترم","Multi-sense or multi-POS separation requires human dictionary review."
"2253","rest","A2","noun + verb","راحة؛ يستريح","Multi-sense or multi-POS separation requires human dictionary review."
"2260","return","A1","verb + noun","يعود؛ عودة","Multi-sense or multi-POS separation requires human dictionary review."
"2262","review","A2","noun + verb","مراجعة؛ يراجع","Multi-sense or multi-POS separation requires human dictionary review."
"2265","reward","B2","noun + verb","مكافأة؛ يكافئ","Multi-sense or multi-POS separation requires human dictionary review."
"2272","right","A1","adjective + adverb + noun","صحيح؛ يمين؛ حق","Multi-sense or multi-POS separation requires human dictionary review."
"2278","risk","B1","noun + verb","خطر؛ يخاطر","Multi-sense or multi-POS separation requires human dictionary review."
"2285","roll","B1","verb + noun","يتدحرج؛ لفّة","Multi-sense or multi-POS separation requires human dictionary review."
"2292","round","A2","adjective + adverb + preposition","دائري؛ حول","Multi-sense or multi-POS separation requires human dictionary review."
"2300","rubber","B2","noun + adjective","مطاط؛ ممحاة؛ مطاطي","Multi-sense or multi-POS separation requires human dictionary review."
"2317","same","A1","adjective + pronoun + adverb","نفسه؛ كذلك","Multi-sense or multi-POS separation requires human dictionary review."
"2342","score","A2","verb + noun","يسجّل؛ نتيجة","Multi-sense or multi-POS separation requires human dictionary review."
"2343","scream","B2","verb + noun","يصرخ؛ صرخة","Multi-sense or multi-POS separation requires human dictionary review."
"2349","search","A2","noun + verb","بحث؛ يبحث","Multi-sense or multi-POS separation requires human dictionary review."
"2353","second","A1","determiner + number","الثاني","Multi-sense or multi-POS separation requires human dictionary review."
"2358","secret","A2","adjective + noun","سري؛ سر","Multi-sense or multi-POS separation requires human dictionary review."
"2362","secure","B2","verb + adjective","يؤمّن؛ آمن","Multi-sense or multi-POS separation requires human dictionary review."
"2392","several","A2","determiner + pronoun","عدّة","Multi-sense or multi-POS separation requires human dictionary review."
"2413","shelter","B2","noun + verb","ملجأ؛ يؤوي","Multi-sense or multi-POS separation requires human dictionary review."
"2421","shock","B2","noun + verb","صدمة؛ يصدم","Multi-sense or multi-POS separation requires human dictionary review."
"2426","shop","A1","noun + verb","متجر؛ يتسوّق","Multi-sense or multi-POS separation requires human dictionary review."
"2432","shout","A2","verb + noun","يصيح؛ صيحة","Multi-sense or multi-POS separation requires human dictionary review."
"2433","show","A1","verb + noun","يعرض؛ عرض","Multi-sense or multi-POS separation requires human dictionary review."
"2435","shut","A2","verb + adjective","يغلق؛ مغلق","Multi-sense or multi-POS separation requires human dictionary review."
"2440","sign","A2","noun + verb","علامة؛ يوقّع","Multi-sense or multi-POS separation requires human dictionary review."
"2441","signal","B1","noun + verb","إشارة؛ يشير","Multi-sense or multi-POS separation requires human dictionary review."
"2448","silver","A2","noun + adjective","فضة؛ فضي","Multi-sense or multi-POS separation requires human dictionary review."
"2453","single","A2","adjective + noun","منفرد؛ أغنية منفردة","Multi-sense or multi-POS separation requires human dictionary review."
"2464","ski","A2","verb + noun","يتزلّج؛ زلّاجة","Multi-sense or multi-POS separation requires human dictionary review."
"2473","slice","B1","noun + verb","شريحة؛ يقطّع","Multi-sense or multi-POS separation requires human dictionary review."
"2474","slide","B2","verb + noun","ينزلق؛ شريحة","Multi-sense or multi-POS separation requires human dictionary review."
"2478","slope","B2","noun + verb","منحدر؛ يميل","Multi-sense or multi-POS separation requires human dictionary review."
"2485","smell","A2","verb + noun","يشمّ؛ رائحة","Multi-sense or multi-POS separation requires human dictionary review."
"2486","smile","A2","verb + noun","يبتسم؛ ابتسامة","Multi-sense or multi-POS separation requires human dictionary review."
"2487","smoke","A2","noun + verb","دخان؛ يدخّن","Multi-sense or multi-POS separation requires human dictionary review."
"2491","snow","A1","noun + verb","ثلج؛ تثلج","Multi-sense or multi-POS separation requires human dictionary review."
"2492","so","A1","adverb + conjunction","جدًا؛ هكذا؛ لذلك","Multi-sense or multi-POS separation requires human dictionary review."
"2503","solid","B1","adjective + noun","صلب؛ مادة صلبة","Multi-sense or multi-POS separation requires human dictionary review."
"2506","some","A1","determiner + pronoun","بعض","Multi-sense or multi-POS separation requires human dictionary review."
"2512","somewhere","A2","adverb + pronoun","في مكان ما","Multi-sense or multi-POS separation requires human dictionary review."
"2516","sorry","A1","adjective + exclamation","آسف؛ عذرًا","Multi-sense or multi-POS separation requires human dictionary review."
"2522","specialist","B2","noun + adjective","اختصاصي؛ متخصص","Multi-sense or multi-POS separation requires human dictionary review."
"2537","split","B2","verb + noun","ينقسم؛ انقسام","Multi-sense or multi-POS separation requires human dictionary review."
"2539","sponsor","B2","verb + noun","يرعى؛ راعٍ","Multi-sense or multi-POS separation requires human dictionary review."
"2548","square","A2","adjective + noun","مربّع؛ ميدان","Multi-sense or multi-POS separation requires human dictionary review."
"2558","standard","B1","noun + adjective","معيار؛ قياسي","Multi-sense or multi-POS separation requires human dictionary review."
"2565","state","B1","adjective + verb","حكومي؛ يصرّح","Multi-sense or multi-POS separation requires human dictionary review."
"2588","stop","A1","verb + noun","يتوقف؛ توقّف","Multi-sense or multi-POS separation requires human dictionary review."
"2593","straight","A2","adverb + adjective","مستقيم؛ مباشرة","Multi-sense or multi-POS separation requires human dictionary review."
"2594","stress","A2","noun + verb","ضغط؛ يؤكد","Multi-sense or multi-POS separation requires human dictionary review."
"2595","stretch","B2","verb + noun","يمتد؛ امتداد","Multi-sense or multi-POS separation requires human dictionary review."
"2597","strike","B2","verb + noun","يضرب؛ إضراب","Multi-sense or multi-POS separation requires human dictionary review."
"2603","struggle","B2","verb + noun","يكافح؛ صراع","Multi-sense or multi-POS separation requires human dictionary review."
"2606","study","A1","noun + verb","دراسة؛ يدرس","Multi-sense or multi-POS separation requires human dictionary review."
"2619","such","A2","determiner + pronoun","مثل هذا","Multi-sense or multi-POS separation requires human dictionary review."
"2629","sum","B2","noun + verb","مجموع؛ يجمع","Multi-sense or multi-POS separation requires human dictionary review."
"2636","supply","B1","noun + verb","إمداد؛ يزوّد","Multi-sense or multi-POS separation requires human dictionary review."
"2637","support","A2","verb + noun","يدعم؛ دعم","Multi-sense or multi-POS separation requires human dictionary review."
"2645","surprise","A2","noun + verb","مفاجأة؛ يفاجئ","Multi-sense or multi-POS separation requires human dictionary review."
"2652","suspect","B2","verb + noun","يشتبه؛ مشتبه به","Multi-sense or multi-POS separation requires human dictionary review."
"2656","sweet","A2","adjective + noun","حلو؛ حلوى","Multi-sense or multi-POS separation requires human dictionary review."
"2671","taste","A2","noun + verb","طعم؛ يتذوّق","Multi-sense or multi-POS separation requires human dictionary review."
"2672","tax","B1","noun + verb","ضريبة؛ يفرض ضريبة","Multi-sense or multi-POS separation requires human dictionary review."
"2679","tear","B2","verb + noun","يمزّق؛ تمزّق","Multi-sense or multi-POS separation requires human dictionary review."
"2686","telephone","A1","noun + verb","هاتف؛ يتصل","Multi-sense or multi-POS separation requires human dictionary review."
"2697","test","A1","noun + verb","اختبار؛ يختبر","Multi-sense or multi-POS separation requires human dictionary review."
"2701","thanks","A1","exclamation + noun","شكرًا؛ شكر","Multi-sense or multi-POS separation requires human dictionary review."
"2702","that","A1","determiner + pronoun + conjunction","ذلك؛ أن","Multi-sense or multi-POS separation requires human dictionary review."
"2726","this","A1","determiner + pronoun","هذا","Multi-sense or multi-POS separation requires human dictionary review."
"2728","through","A1","preposition + adverb","عبر؛ من خلال","Multi-sense or multi-POS separation requires human dictionary review."
"2729","throughout","B1","preposition + adverb","في جميع أنحاء؛ طوال","Multi-sense or multi-POS separation requires human dictionary review."
"2734","tidy","A2","adjective + verb","مرتّب؛ يرتّب","Multi-sense or multi-POS separation requires human dictionary review."
"2735","tie","A2","verb + noun","يربط؛ ربطة","Multi-sense or multi-POS separation requires human dictionary review."
"2737","till","B1","conjunction + preposition","حتى","Multi-sense or multi-POS separation requires human dictionary review."
"2745","today","A1","adverb + noun","اليوم","Multi-sense or multi-POS separation requires human dictionary review."
"2750","tomorrow","A1","adverb + noun","غدًا","Multi-sense or multi-POS separation requires human dictionary review."
"2753","tonight","A1","adverb + noun","الليلة","Multi-sense or multi-POS separation requires human dictionary review."
"2757","top","A2","noun + adjective","قمّة؛ علوي","Multi-sense or multi-POS separation requires human dictionary review."
"2759","total","B1","adjective + noun","إجمالي؛ مجموع","Multi-sense or multi-POS separation requires human dictionary review."
"2770","toy","A2","noun + adjective","لعبة؛ للعب","Multi-sense or multi-POS separation requires human dictionary review."
"2772","trade","B1","noun + verb","تجارة؛ يتاجر","Multi-sense or multi-POS separation requires human dictionary review."
"2779","transfer","B2","verb + noun","ينقل؛ نقل","Multi-sense or multi-POS separation requires human dictionary review."
"2785","travel","A1","verb + noun","يسافر؛ سفر","Multi-sense or multi-POS separation requires human dictionary review."
"2794","trust","B2","noun + verb","ثقة؛ يثق","Multi-sense or multi-POS separation requires human dictionary review."
"2802","turn","A1","verb + noun","يدور؛ دور","Multi-sense or multi-POS separation requires human dictionary review."
"2807","twin","A2","noun + adjective","توأم؛ توأمي","Multi-sense or multi-POS separation requires human dictionary review."
"2820","under","A1","preposition + adverb","تحت","Multi-sense or multi-POS separation requires human dictionary review."
"2821","underground","A2","adjective + adverb","تحت الأرض؛ مترو الأنفاق","Multi-sense or multi-POS separation requires human dictionary review."
"2844","until","A1","conjunction + preposition","حتى","Multi-sense or multi-POS separation requires human dictionary review."
"2884","visit","A1","verb + noun","يزور؛ زيارة","Multi-sense or multi-POS separation requires human dictionary review."
"2891","volunteer","B1","noun + verb","متطوع؛ يتطوع","Multi-sense or multi-POS separation requires human dictionary review."
"2892","vote","B1","noun + verb","تصويت؛ يصوّت","Multi-sense or multi-POS separation requires human dictionary review."
"2897","walk","A1","verb + noun","يمشي؛ مشي","Multi-sense or multi-POS separation requires human dictionary review."
"2900","waste","B1","noun + verb + adjective","نفايات؛ يهدر؛ غير مستغل","Multi-sense or multi-POS separation requires human dictionary review."
"2901","watch","A1","verb + noun","يشاهد؛ ساعة يد","Multi-sense or multi-POS separation requires human dictionary review."
"2921","welcome","A1","exclamation + verb + adjective","مرحبًا؛ يرحّب؛ موضع ترحيب","Multi-sense or multi-POS separation requires human dictionary review."
"2922","well","A1","adverb + adjective + exclamation","جيدًا؛ بخير؛ حسنًا","Multi-sense or multi-POS separation requires human dictionary review."
"2923","west","A1","noun + adjective + adverb","الغرب؛ غربيًا","Multi-sense or multi-POS separation requires human dictionary review."
"2926","what","A1","pronoun + determiner","ما؛ ماذا","Multi-sense or multi-POS separation requires human dictionary review."
"2927","whatever","B1","determiner + pronoun","أيًا كان؛ مهما","Multi-sense or multi-POS separation requires human dictionary review."
"2929","when","A1","adverb + pronoun + conjunction","متى؛ عندما","Multi-sense or multi-POS separation requires human dictionary review."
"2931","where","A1","adverb + conjunction","أين؛ حيث","Multi-sense or multi-POS separation requires human dictionary review."
"2935","which","A1","pronoun + determiner","أيّ؛ الذي","Multi-sense or multi-POS separation requires human dictionary review."
"2937","whisper","B2","verb + noun","يهمس؛ همس","Multi-sense or multi-POS separation requires human dictionary review."
"2938","white","A1","adjective + noun","أبيض؛ اللون الأبيض","Multi-sense or multi-POS separation requires human dictionary review."
"2942","whose","A2","determiner + pronoun","لِمَن؛ الذي له","Multi-sense or multi-POS separation requires human dictionary review."
"2955","wish","A2","verb + noun","يتمنى؛ أمنية","Multi-sense or multi-POS separation requires human dictionary review."
"2959","witness","B2","noun + verb","شاهد؛ يشهد","Multi-sense or multi-POS separation requires human dictionary review."
"2961","wonder","B1","verb + noun","يتساءل؛ دهشة","Multi-sense or multi-POS separation requires human dictionary review."
"2967","work","A1","verb + noun","يعمل؛ عمل","Multi-sense or multi-POS separation requires human dictionary review."
"2971","worldwide","B1","adjective + adverb","عالمي؛ عالميًا","Multi-sense or multi-POS separation requires human dictionary review."
"2978","wound","B2","noun + verb","جرح؛ يجرح","Multi-sense or multi-POS separation requires human dictionary review."
"2989","yellow","A1","adjective + noun","أصفر؛ اللون الأصفر","Multi-sense or multi-POS separation requires human dictionary review."
"2991","yesterday","A1","adverb + noun","أمس","Multi-sense or multi-POS separation requires human dictionary review."
